,체결시간,거래량,시가,고가,저가,현재가
2282,20170914095400,9330,75900,76000,75900,76000
2281,20170914095500,4059,75900,76000,75900,75900
2280,20170914095600,7040,75900,76100,75900,76000
2279,20170914095700,2140,76000,76100,76000,76000
2278,20170914095800,3049,76100,76100,76000,76100
2277,20170914095900,2866,76100,76100,76000,76100
2276,20170914100000,2543,76100,76100,76000,76000
2275,20170914100100,2295,76000,76100,76000,76000
2274,20170914100200,2310,76000,76100,76000,76100
2273,20170914100300,14131,76100,76200,76000,76200
2272,20170914100400,23554,76200,76400,76100,76300
2271,20170914100500,12494,76400,76500,76300,76400
2270,20170914100600,23460,76500,76600,76400,76400
2269,20170914100700,4728,76500,76500,76400,76500
2268,20170914100800,7090,76500,76600,76400,76500
2267,20170914100900,3289,76600,76600,76500,76600
2266,20170914101000,10601,76600,76700,76500,76600
2265,20170914101100,8592,76600,76600,76400,76500
2264,20170914101200,4632,76500,76600,76400,76500
2263,20170914101300,4012,76500,76600,76400,76400
2262,20170914101400,2224,76500,76500,76400,76400
2261,20170914101500,3166,76500,76500,76400,76500
2260,20170914101600,7380,76400,76500,76300,76300
2259,20170914101700,3322,76300,76400,76300,76300
2258,20170914101800,3125,76400,76500,76300,76400
2257,20170914101900,1387,76400,76500,76400,76500
2256,20170914102000,1137,76500,76500,76400,76400
2255,20170914102100,3727,76400,76500,76300,76300
2254,20170914102200,3487,76400,76400,76300,76300
2253,20170914102300,2490,76400,76400,76300,76300
2252,20170914102400,1100,76300,76400,76300,76300
2251,20170914102500,992,76400,76400,76300,76400
2250,20170914102600,1520,76400,76400,76300,76300
2249,20170914102700,10931,76300,76400,76200,76200
2248,20170914102800,1993,76200,76300,76200,76300
2247,20170914102900,2353,76300,76300,76200,76200
2246,20170914103000,9225,76300,76300,76200,76300
2245,20170914103100,4481,76200,76300,76100,76100
2244,20170914103200,2909,76100,76200,76100,76100
2243,20170914103300,3563,76200,76200,76100,76200
2242,20170914103400,3504,76200,76200,76100,76200
2241,20170914103500,3865,76200,76200,76100,76100
2240,20170914103600,5683,76200,76200,76100,76100
2239,20170914103700,997,76100,76100,76000,76100
2238,20170914103800,9743,76100,76200,76000,76100
2237,20170914103900,5875,76200,76200,76000,76200
2236,20170914104000,3052,76200,76200,76000,76100
2235,20170914104100,1326,76100,76200,76000,76100
2234,20170914104200,7898,76100,76200,76000,76100
2233,20170914104300,3286,76100,76200,76100,76100
2232,20170914104400,1691,76100,76200,76100,76200
2231,20170914104500,2006,76200,76200,76100,76200
2230,20170914104600,2236,76100,76200,76100,76100
2229,20170914104700,963,76100,76200,76100,76200
2228,20170914104800,2146,76100,76200,76100,76200
2227,20170914104900,27553,76100,76500,76100,76400
2226,20170914105000,6946,76400,76500,76300,76300
2225,20170914105100,1411,76300,76300,76200,76300
2224,20170914105200,1019,76200,76300,76200,76300
2223,20170914105300,4497,76300,76400,76200,76300
2222,20170914105400,1041,76400,76400,76300,76400
2221,20170914105500,2316,76400,76400,76300,76300
2220,20170914105600,1300,76400,76400,76300,76400
2219,20170914105700,1893,76300,76400,76300,76300
2218,20170914105800,1079,76400,76400,76300,76400
2217,20170914105900,8534,76400,76500,76300,76500
2216,20170914110000,4013,76500,76500,76400,76500
2215,20170914110100,2946,76400,76500,76400,76500
2214,20170914110200,3783,76400,76500,76400,76500
2213,20170914110300,1536,76500,76500,76400,76500
2212,20170914110400,1806,76500,76500,76400,76400
2211,20170914110500,1403,76500,76500,76400,76500
2210,20170914110600,557,76500,76500,76400,76400
2209,20170914110700,1585,76400,76500,76400,76400
2208,20170914110800,2122,76500,76500,76400,76400
2207,20170914110900,3414,76500,76500,76400,76500
2206,20170914111000,10572,76500,76500,76400,76500
2205,20170914111100,17872,76500,76600,76500,76600
2204,20170914111200,1519,76600,76600,76500,76600
2203,20170914111300,2461,76600,76600,76500,76600
2202,20170914111400,25058,76600,76700,76500,76700
2201,20170914111500,852,76700,76700,76600,76700
2200,20170914111600,6395,76700,76700,76600,76700
2199,20170914111700,3201,76700,76700,76600,76700
2198,20170914111800,24075,76700,76700,76500,76500
2197,20170914111900,2812,76500,76600,76500,76600
2196,20170914112000,948,76600,76600,76500,76600
2195,20170914112100,1725,76500,76600,76500,76600
2194,20170914112200,2382,76600,76600,76500,76600
2193,20170914112300,1990,76600,76600,76500,76600
2192,20170914112400,1497,76500,76600,76500,76600
2191,20170914112500,2481,76600,76600,76500,76500
2190,20170914112600,1128,76600,76600,76500,76500
2189,20170914112700,1017,76600,76600,76500,76600
2188,20170914112800,1606,76600,76600,76500,76600
2187,20170914112900,2139,76600,76600,76500,76600
2186,20170914113000,3971,76600,76600,76500,76500
2185,20170914113100,1859,76600,76600,76500,76500
2184,20170914113200,2689,76500,76600,76500,76600
2183,20170914113300,3219,76600,76600,76500,76500
2182,20170914113400,1760,76500,76600,76500,76600
2181,20170914113500,2055,76600,76600,76500,76500
2180,20170914113600,2010,76600,76600,76500,76600
2179,20170914113700,3357,76500,76600,76500,76600
2178,20170914113800,23814,76500,76600,76400,76500
2177,20170914113900,3601,76500,76600,76400,76500
2176,20170914114000,1208,76500,76500,76400,76500
2175,20170914114100,1996,76400,76500,76400,76500
2174,20170914114200,2283,76500,76500,76400,76500
2173,20170914114300,1372,76500,76500,76400,76400
2172,20170914114400,2670,76400,76500,76400,76500
2171,20170914114500,975,76500,76500,76400,76400
2170,20170914114600,3849,76400,76500,76400,76500
2169,20170914114700,1025,76400,76500,76400,76500
2168,20170914114800,3113,76400,76500,76400,76500
2167,20170914114900,1490,76500,76500,76400,76400
2166,20170914115000,2775,76500,76500,76400,76500
2165,20170914115100,2003,76500,76500,76400,76500
2164,20170914115200,5748,76400,76500,76400,76500
2163,20170914115300,2592,76500,76500,76400,76500
2162,20170914115400,2447,76500,76600,76400,76500
2161,20170914115500,1140,76600,76600,76500,76600
2160,20170914115600,1623,76600,76600,76500,76600
2159,20170914115700,2649,76600,76600,76500,76500
2158,20170914115800,2130,76600,76600,76500,76500
2157,20170914115900,1311,76600,76600,76500,76600
2156,20170914120000,2512,76600,76600,76500,76600
2155,20170914120100,1497,76600,76600,76500,76500
2154,20170914120200,1141,76600,76600,76500,76500
2153,20170914120300,1721,76600,76600,76500,76500
2152,20170914120400,1720,76600,76600,76500,76600
2151,20170914120500,1722,76600,76600,76500,76600
2150,20170914120600,1759,76600,76600,76500,76600
2149,20170914120700,1266,76500,76600,76500,76600
2148,20170914120800,2585,76500,76600,76500,76600
2147,20170914120900,1843,76600,76600,76500,76600
2146,20170914121000,1852,76600,76600,76500,76500
2145,20170914121100,1273,76600,76600,76500,76600
2144,20170914121200,1216,76500,76600,76500,76600
2143,20170914121300,2295,76600,76600,76500,76600
2142,20170914121400,1055,76600,76600,76500,76600
2141,20170914121500,711,76500,76600,76500,76600
2140,20170914121600,1884,76600,76600,76500,76600
2139,20170914121700,1207,76600,76600,76500,76500
2138,20170914121800,1807,76600,76600,76500,76500
2137,20170914121900,1190,76500,76600,76500,76500
2136,20170914122000,2079,76500,76600,76500,76600
2135,20170914122100,10562,76600,76600,76400,76400
2134,20170914122200,1527,76500,76500,76400,76400
2133,20170914122300,1090,76500,76500,76400,76400
2132,20170914122400,1249,76500,76500,76400,76500
2131,20170914122500,1749,76400,76500,76400,76500
2130,20170914122600,3284,76500,76500,76400,76500
2129,20170914122700,943,76500,76500,76400,76500
2128,20170914122800,1660,76500,76500,76400,76400
2127,20170914122900,993,76400,76500,76400,76500
2126,20170914123000,3376,76500,76500,76400,76500
2125,20170914123100,794,76400,76500,76400,76500
2124,20170914123200,1951,76400,76500,76400,76500
2123,20170914123300,2897,76500,76500,76400,76500
2122,20170914123400,920,76500,76500,76400,76500
2121,20170914123500,2664,76500,76500,76400,76400
2120,20170914123600,680,76400,76500,76400,76500
